normalizing_factor,h_b,v,beta,avg_number_of_bumps,avg_total_active_neurons,avg_bump_width,avg_largest_bump_width,avg_zero_bump_timestep_percentage
0.5,0.2,0.5,400,0.8587027027027027,25.193513513513512,29.339040664736245,24.433621621621622,21.794594594594596
0.5,0.195,0.5,400,0.8710270270270271,25.52983783783784,29.31004095817302,24.66627027027027,21.45945945945946
0.5,0.19,0.5,400,0.8754594594594595,25.856972972972972,29.53531736231168,24.942162162162163,21.286486486486485
0.5,0.185,0.5,400,0.8758918918918919,26.223567567567567,29.939274253270796,25.284324324324324,21.037837837837838
0.5,0.18,0.5,400,0.8710270270270271,26.69891891891892,30.65222787638079,25.887675675675677,20.886486486486486
0.5,0.175,0.5,400,0.8884324324324324,27.556216216216217,31.016670722803603,26.93383783783784,17.83783783783784
0.5,0.16999999999999998,0.5,400,0.9112432432432432,28.191567567567567,30.93747775536837,27.54183783783784,15.87027027027027
0.5,0.16499999999999998,0.5,400,0.9203243243243243,28.623675675675674,31.1017267708211,27.91189189189189,15.05945945945946
0.5,0.15999999999999998,0.5,400,0.9218378378378378,28.952108108108106,31.40694265275009,28.17837837837838,15.04864864864865
0.5,0.15499999999999997,0.5,400,0.924972972972973,29.28162162162162,31.656732117812062,28.442810810810812,14.886486486486486
0.5,0.14999999999999997,0.5,400,0.928972972972973,29.592,31.85453275922262,28.711675675675675,14.562162162162162
0.5,0.14499999999999996,0.5,400,0.9296216216216217,29.965513513513514,32.23409698802186,29.035351351351352,14.81081081081081
0.5,0.13999999999999996,0.5,400,0.9276756756756757,30.46162162162162,32.83649924251253,29.576864864864866,14.68108108108108
0.5,0.13499999999999995,0.5,400,0.9197837837837838,31.225837837837837,33.94910672308416,30.651243243243243,14.237837837837837
0.5,0.12999999999999995,0.5,400,0.9261621621621622,31.794810810810812,34.32963697910587,31.23610810810811,13.837837837837839
0.5,0.12499999999999994,0.5,400,0.9323243243243243,32.212756756756754,34.55102040816327,31.559243243243245,13.578378378378378
0.5,0.11999999999999994,0.5,400,0.9416216216216217,32.62745945945946,34.65028702640643,31.844756756756755,13.448648648648648
