normalizing_factor,h_b,v,beta,avg_number_of_bumps,avg_total_active_neurons,avg_bump_width,avg_largest_bump_width,avg_zero_bump_timestep_percentage
0.5,0.495,0.5,400,0.08497297297297297,0.42324324324324325,4.980916030534351,0.4212972972972973,91.6972972972973
0.5,0.5,0.5,400,0.055135135135135134,0.2201081081081081,3.992156862745098,0.21827027027027027,94.67027027027027
0.5,0.49,0.5,400,0.09362162162162162,0.5347027027027027,5.711316397228638,0.5328648648648648,90.82162162162162
0.5,0.475,0.5,400,0.14313513513513512,0.9651891891891892,6.743202416918429,0.9633513513513513,85.87027027027027
0.5,0.46499999999999997,0.5,400,0.15362162162162163,1.2032432432432432,7.832512315270936,1.2014054054054053,84.82162162162162
0.5,0.48,0.5,400,0.12605405405405407,0.8023783783783783,6.365351629502573,0.8004324324324325,87.58918918918918
0.5,0.485,0.5,400,0.1067027027027027,0.6394594594594595,5.99290780141844,0.6376216216216216,89.51351351351352
0.5,0.47,0.5,400,0.15232432432432433,1.107135135135135,7.268275372604684,1.1051891891891892,84.96216216216216
0.5,0.45999999999999996,0.5,400,0.15697297297297297,1.2794594594594595,8.150826446280991,1.2775135135135136,84.4972972972973
0.5,0.44999999999999996,0.5,400,0.19178378378378377,1.5930810810810812,8.306651634723789,1.591135135135135,81.01621621621622
0.5,0.44499999999999995,0.5,400,0.20421621621621622,1.7627027027027027,8.63155108523028,1.7605405405405405,79.7945945945946
0.5,0.45499999999999996,0.5,400,0.17178378378378378,1.3975135135135135,8.13530522341095,1.3956756756756756,83.00540540540541
0.5,0.43999999999999995,0.5,400,0.21708108108108107,1.9222702702702703,8.8550796812749,1.919891891891892,78.52972972972972
0.5,0.42999999999999994,0.5,400,0.24886486486486487,2.2915675675675677,9.208079930495222,2.2895135135135134,75.31891891891892
0.5,0.43499999999999994,0.5,400,0.22908108108108108,2.0731891891891894,9.050023596035865,2.0712432432432433,77.28648648648648
0.5,0.42499999999999993,0.5,400,0.3134054054054054,2.74227027027027,8.749913763366678,2.726054054054054,69.26486486486486
0.5,0.4149999999999999,0.5,400,0.3703783783783784,3.5104864864864864,9.478108581436077,3.4044324324324324,65.1027027027027
0.5,0.4099999999999999,0.5,400,0.40302702702702703,3.8892972972972975,9.650214592274677,3.6816216216216215,63.394594594594594
0.5,0.41999999999999993,0.5,400,0.3551351351351351,3.2055135135135133,9.026179604261795,3.154810810810811,65.7945945945946
0.5,0.3999999999999999,0.5,400,0.5197837837837838,5.164216216216216,9.935316139767055,4.695459459459459,55.67567567567568
0.5,0.3949999999999999,0.5,400,0.5732972972972973,5.8852972972972974,10.265698661135206,5.244540540540541,52.4
0.5,0.4049999999999999,0.5,400,0.45837837837837836,4.468432432432432,9.748349056603773,4.144972972972973,59.63243243243243
0.5,0.3899999999999999,0.5,400,0.6020540540540541,6.521081081081081,10.831388040940922,5.752108108108108,50.7027027027027
0.5,0.3849999999999999,0.5,400,0.6647567567567567,7.603243243243243,11.437632135306554,6.722918918918919,45.27567567567568
0.5,0.3799999999999999,0.5,400,0.7555675675675676,9.358486486486486,12.38603519816855,8.36454054054054,37.6972972972973
0.5,0.3599999999999999,0.5,400,0.8340540540540541,13.672108108108109,16.392352559948154,12.300648648648648,31.967567567567567
0.5,0.3649999999999999,0.5,400,0.8243243243243243,12.587135135135135,15.269639344262295,11.287459459459459,33.08108108108108
0.5,0.3749999999999999,0.5,400,0.812972972972973,10.699675675675676,13.161170212765958,9.474054054054054,34.74594594594595
0.5,0.3699999999999999,0.5,400,0.8087567567567567,11.789837837837839,14.577730249966582,10.573081081081082,34.086486486486486
0.5,0.35499999999999987,0.5,400,0.8457297297297297,14.269081081081081,16.871916144701522,12.791459459459459,31.405405405405407
0.5,0.34999999999999987,0.5,400,0.8567567567567568,14.824432432432433,17.302965299684544,13.247135135135135,31.145945945945947
0.5,0.34499999999999986,0.5,400,0.8403243243243244,15.461837837837837,18.39984561945195,14.049297297297297,30.713513513513515
0.5,0.33999999999999986,0.5,400,0.8388108108108108,15.88,18.931563345791982,14.444756756756757,30.52972972972973
0.5,0.32999999999999985,0.5,400,0.8452972972972973,16.730594594594596,19.792556592914696,15.239027027027028,29.481081081081083
0.5,0.33499999999999985,0.5,400,0.8457297297297297,16.327783783783783,19.30614853636712,14.83891891891892,29.751351351351353
0.5,0.32499999999999984,0.5,400,0.8405405405405405,17.16054054054054,20.416077170418006,15.704108108108109,29.275675675675675
0.5,0.31999999999999984,0.5,400,0.8328648648648649,17.570162162162163,21.096053997923157,16.206594594594595,28.92972972972973
0.5,0.31499999999999984,0.5,400,0.8352432432432433,17.888972972972972,21.41768055915092,16.497297297297298,28.681081081081082
0.5,0.30999999999999983,0.5,400,0.8441081081081081,18.222486486486485,21.587858606557376,16.791783783783785,27.85945945945946
